time,soil,light,ph,steam,dh_h,dh_t,therm,lm35
1,1.4545788,0.89531132,0.6000004,0.091868132,64,18,19.010192,20.871796
2,1.4545788,0.97912088,0.6000004,0.09992673,64,18,19.010192,20.871796
3,1.4545788,0.97912088,0.6000004,0.091868132,64,18,19.010192,20.549452
4,1.4618314,0.993626336,0.6000004,0.091868132,64,18,19.010192,20.549452
6,1.4545788,0.97912088,0.6000004,0.091868132,64,18,19.010192,20.549452
7,1.4424908,0.993626336,0.6000004,0.090256416,64,18,18.928588,20.549452
8,1.4424908,0.993626336,0.6000004,0.08783882,64,18,19.254334,20.307692
10,1.4287912,0.9702564,0.6000004,0.090256416,64,18,19.227234,19.582416
11,1.4287912,0.9702564,0.6000004,0.09106227,64,18,19.254334,20.307692
12,1.4279854,0.9702564,0.6000004,0.09106227,64,18,19.227234,20.468866
13,1.4279854,0.8098901,0.6000004,0.09347985,64,18,19.227234,20.468866
15,1.3917216,0.8098901,0.6000004,0.09347985,64,18,19.227234,20.468866
16,1.383663,0.97186816,0.6000004,0.09347985,64,18,19.173034,20.468866
17,1.383663,0.8098901,0.6000004,0.09428572,64,18,19.173034,20.630038
19,1.383663,0.97186816,0.6000004,0.0967033,64,18,19.254334,19.663006
20,1.4086447,0.97186816,0.6000004,0.0967033,64,18,19.254334,19.663006
21,1.4086447,0.8993407,0.6000004,0.0967033,64,18,19.064514,19.743592
22,1.423956,0.8179487,0.6000004,0.0967033,64,18,19.064514,20.549452
24,1.4312087,0.8993407,0.6000004,0.095091576,64,18,19.064514,20.549452
25,1.4086447,0.8324542,0.6000004,0.09428572,64,18,18.928588,20.549452
26,1.4215384,0.8179487,0.6000004,0.095091576,64,18,18.928588,20.388278
28,1.4215384,0.8324542,0.6000004,0.095091576,64,18,19.145936,20.549452
29,1.4207326,0.882417536,0.6000004,0.09428572,64,18,19.145936,20.388278
30,1.3893039,0.8324542,0.6000004,0.09428572,64,18,19.145936,19.663006
31,1.4207326,0.882417536,0.6000004,0.086227108,64,18,19.145936,20.388278
33,1.3893039,0.89289376,0.6000004,0.086227108,64,18,19.145936,20.549452
34,1.3868864,0.882417536,0.6000004,0.086227108,64,18,19.145936,19.582416
35,1.3893039,0.89289376,0.6000004,0.086227108,64,18,19.173034,19.582416
37,1.4150915,0.9114286,0.6000004,0.089450548,64,18,19.281402,20.468866
38,1.3868864,0.89289376,0.6000004,0.089450548,64,18,19.173034,19.743592
39,1.4150915,0.9114286,0.6000004,0.089450548,64,18,19.281402,19.743592
40,1.4150915,0.9114286,0.6000004,0.090256416,64,18,19.173034,19.824176
42,1.4118682,0.845348,0.6000004,0.090256416,64,18,19.091644,19.824176
43,1.4118682,0.845348,0.6000004,0.09106227,64,18,19.091644,19.824176
44,1.4118682,0.8977289,0.6000004,0.09106227,64,18,19.091644,20.227106
46,1.4118682,0.845348,0.6000004,0.09347985,64,18,19.037354,19.904762
47,1.4167032,0.8284249,0.6000004,0.09347985,64,18,19.091644,20.227106
48,1.4191208,0.8977289,0.6000004,0.09347985,64,18,19.173034,20.388278
50,1.4255678,0.8284249,0.6000004,0.09347985,64,18,18.983002,20.388278
51,1.4263736,0.7446154,0.6000004,0.09428572,64,18,19.173034,19.904762
52,1.4263736,0.8284249,0.6000004,0.09589743,64,18,19.173034,19.985348
53,1.4255678,0.84373624,0.6000004,0.09589743,64,18,18.983002,19.824176
55,1.4263736,0.7446154,0.6000004,0.09589743,64,18,18.983002,19.582416
56,1.4199268,0.84373624,0.6000004,0.09589743,64,18,18.983002,19.582416
57,1.3844688,0.84373624,0.6000004,0.09589743,64,18,18.983002,19.582416
59,1.3844688,0.827619,0.6000004,0.0967033,64,18,19.200134,19.582416
60,1.3917216,0.827619,0.6000004,0.0967033,64,18,19.200134,19.743592
61,1.3917216,0.95091576,0.6000004,0.09589743,64,18,19.200134,19.824176
62,1.4231502,0.827619,0.6000004,0.09589743,64,18,19.33551,20.549452
64,1.4231502,0.7317216,0.6000004,0.09589743,64,18,19.33551,20.549452
65,1.4175091,0.95091576,0.6000004,0.09589743,64,18,19.33551,19.824176
66,1.4175091,0.842930464,0.6000004,0.09589743,64,18,19.33551,19.824176
68,1.4094505,0.7317216,0.6000004,0.0967033,64,18,19.281402,19.743592
69,1.4094505,0.842930464,0.6000004,0.0967033,64,18,19.281402,19.743592
70,1.3731867,0.90901096,0.6000004,0.092673992,64,18,19.281402,19.663006
71,1.4094505,0.842930464,0.6000004,0.092673992,64,18,19.281402,19.743592
73,1.4110622,0.6817582,0.6000004,0.092673992,64,18,19.33551,19.743592
74,1.4110622,0.90901096,0.6000004,0.091868132,64,18,19.33551,19.743592
75,1.4013919,0.6817582,0.6000004,0.09106227,64,18,18.95581,19.824176
77,1.4013919,0.6817582,0.6000004,0.09106227,64,18,18.983002,19.824176
78,1.3860806,0.715604336,0.6000004,0.09106227,64,18,18.983002,19.904762
79,1.3860806,0.82520148,0.6000004,0.09106227,64,18,18.983002,19.904762
80,1.3860806,0.715604336,0.6000004,0.09347985,64,18,18.983002,19.904762
82,1.3691574,0.7430036,0.6000004,0.09428572,64,18,19.254334,19.824176
83,1.3691574,0.82520148,0.6000004,0.09589743,64,18,19.443604,19.904762
84,1.4134798,0.80747248,0.6000004,0.0967033,64,18,19.416596,20.388278
86,1.423956,0.7430036,0.6000004,0.0967033,64,18,19.416596,20.388278
87,1.423956,0.80747248,0.6000004,0.0967033,64,18,19.416596,20.388278
88,1.423956,0.9049817,0.6000004,0.0967033,64,18,19.416596,20.388278
89,1.3586813,0.80747248,0.6000004,0.0967033,64,18,19.33551,19.985348
91,1.3586813,0.6454945,0.6000004,0.0967033,64,18,19.33551,19.985348
